Project_ID,MP_Name,State,Constituency,Allocated_Ceiling,Work_Type,Vendor,Sanctioned_Amount,Bill_Amount,UC_Amount,Cumulative_Sanctioned,Days_to_Completion,Is_Overrun,Is_Duplicate,Is_Delayed,Has_Doc_Mismatch,Duplicate_Group_ID,Ceiling_Breach,Doc_Amount_Gap_Pct,Vendor_Is_Suspect,Model_Risk_Prob,Risk_Score,Risk_Level,Amount_Ratio
MPLAD-1010,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,154773472.11,Road Construction,Vendor_010,2564357.74,2564357.74,2533761.8,13409278.62,129,0,1,0,0,DUPGRP-1010,0,1.2,0,0.00011421959620657902,0.75,High,0.73
MPLAD-1011,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,154773472.11,Road Construction,Vendor_010,2645548.1,2645548.1,2646455.07,16054826.72,142,0,1,0,0,DUPGRP-1010,0,0.0,0,0.00011132097791123269,0.75,High,0.76
MPLAD-1012,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,154773472.11,Solar Street Lighting,Vendor_007,1936352.55,1936352.55,1910112.75,17991179.27,317,0,0,1,0,,0,1.4,0,0.03686251386315757,0.037,Low,1.29
MPLAD-1013,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,154773472.11,Drinking Water Supply,Vendor_020,1711742.39,1711742.39,1714436.14,19702921.65,161,0,0,0,0,,0,0.2,0,0.0005875380939140764,0.001,Low,0.78
MPLAD-1014,ABDUL RASHID SHEIKH,Jammu And Kashmir,BARAMULLAH,154773472.11,Drinking Water Supply,Vendor_025,2779266.6,2779266.6,2819369.26,22482188.25,164,0,0,0,0,,0,1.4,0,0.011517815017052615,0.012,Low,1.26
MPLAD-1015,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,147000000.0,School Building,Vendor_022,4406725.32,4406725.32,4416966.91,4406725.32,162,0,0,0,0,,0,0.2,1,9.89443583099287e-05,0.4,Medium,0.88
MPLAD-1016,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,147000000.0,Community Hall,Vendor_017,2783304.28,2783304.28,2836366.85,7190029.6,79,0,0,0,0,,0,1.9,1,0.009122800275876244,0.4,Medium,0.99
MPLAD-1017,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,147000000.0,Community Hall,Vendor_017,6589978.69,6589978.69,6521984.68,13780008.29,164,1,0,0,0,,0,1.0,1,0.9355147638967001,0.936,High,2.35
MPLAD-1018,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,147000000.0,Community Hall,Vendor_002,4970310.74,4970310.74,4977423.2,18750319.03,139,1,0,0,0,,0,0.1,0,0.28733150508211125,0.287,Low,1.78
MPLAD-1019,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,147000000.0,Road Construction,Vendor_004,5820607.76,5820607.76,7438872.13,24570926.79,184,0,0,0,1,,0,27.8,1,0.25810880034403855,1.0,High,1.66
MPLAD-1020,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,147000000.0,School Building,Vendor_025,5642019.26,5642019.26,5737864.44,30212946.06,31,0,0,0,0,,0,1.7,0,0.010240193348239645,0.01,Low,1.13
MPLAD-1021,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,147000000.0,Solar Street Lighting,Vendor_017,1187191.85,1187191.85,1167869.25,31400137.91,148,0,0,0,0,,0,1.6,1,0.0021493199213298863,0.4,Medium,0.79
MPLAD-1022,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,147000000.0,Community Hall,Vendor_016,2667749.15,2667749.15,2709055.13,34067887.05,190,0,0,0,0,,0,1.5,0,0.0007472737937304892,0.001,Low,0.95
MPLAD-1023,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,147000000.0,Community Hall,Vendor_018,6423765.23,6423765.23,6410512.78,6423765.23,137,1,1,0,0,DUPGRP-1023,0,0.2,0,0.9268553035844534,0.927,High,2.29
MPLAD-1024,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,147000000.0,Community Hall,Vendor_018,6677867.52,6677867.52,6607682.89,13101632.74,125,0,1,0,0,DUPGRP-1023,0,1.1,0,0.9590830111544801,0.959,High,2.38
MPLAD-1025,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,147000000.0,Health Sub-Centre,Vendor_016,5946118.68,5946118.68,7384656.93,19047751.42,135,0,0,0,1,,0,24.2,0,0.025108119225821016,0.722,High,1.42
MPLAD-1026,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,147000000.0,Sports Infrastructure,Vendor_002,3315890.91,3315890.91,3335136.78,22363642.33,183,0,0,0,0,,0,0.6,0,0.0031840521255540287,0.003,Low,1.11
MPLAD-1027,Abu Taher Khan,West Bengal,MURSHIDABAD,147000000.0,Health Sub-Centre,Vendor_017,7819119.46,7819119.46,7948874.43,7819119.46,178,0,0,0,0,,0,1.7,1,0.7202344051664912,0.72,High,1.86
MPLAD-1028,Abu Taher Khan,West Bengal,MURSHIDABAD,147000000.0,School Building,Vendor_001,4808592.81,4808592.81,5897374.85,12627712.27,200,0,0,0,1,,0,22.6,0,0.0002711035725573868,0.706,High,0.96
MPLAD-1029,Abu Taher Khan,West Bengal,MURSHIDABAD,147000000.0,Sports Infrastructure,Vendor_003,681931.75,681931.75,670943.83,13309644.02,163,0,0,0,0,,0,1.6,0,7.64585683718079e-06,0.0,Low,0.23
MPLAD-1030,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,Sports Infrastructure,Vendor_011,4057423.51,4057423.51,4065996.03,4057423.51,183,0,0,0,0,,0,0.2,0,0.023403073464007912,0.023,Low,1.35
MPLAD-1031,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,Drinking Water Supply,Vendor_025,2443559.3,2443559.3,2413676.91,6500982.8,195,0,0,0,0,,0,1.2,0,0.004139409339857595,0.004,Low,1.11
MPLAD-1032,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,Solar Street Lighting,Vendor_022,1342365.38,1342365.38,1333138.1,7843348.18,225,0,0,0,0,,0,0.7,1,0.006691516587307636,0.4,Medium,0.89
MPLAD-1033,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,Drinking Water Supply,Vendor_017,2749008.15,2749008.15,2753085.75,10592356.33,83,0,1,0,0,DUPGRP-1033,0,0.1,1,0.025752232774826203,1.0,High,1.25
MPLAD-1034,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,Drinking Water Supply,Vendor_012,2710885.18,2710885.18,2724210.86,13303241.52,79,0,1,0,0,DUPGRP-1033,0,0.5,0,0.02471581392437833,0.75,High,1.23
MPLAD-1035,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,Community Hall,Vendor_004,2462930.6,2462930.6,2484071.91,15766172.11,102,0,0,0,0,,0,0.9,1,0.002690117695446317,0.4,Medium,0.88
MPLAD-1036,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,School Building,Vendor_004,4333251.88,4333251.88,5447238.29,20099424.0,79,0,1,0,1,DUPGRP-1036,0,25.7,1,0.00036316021980109883,1.0,High,0.87
MPLAD-1037,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,School Building,Vendor_004,4398597.29,4398597.29,4338149.48,24498021.28,89,0,1,0,0,DUPGRP-1036,0,1.4,1,0.00030995893671784797,1.0,High,0.88
MPLAD-1038,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,Drinking Water Supply,Vendor_005,2347084.41,2347084.41,2339536.19,26845105.69,214,0,0,0,0,,0,0.3,0,0.003658571159545406,0.004,Low,1.07
MPLAD-1039,ADHIKARI SOUMENDU,West Bengal,KANTHI,147000000.0,Community Hall,Vendor_020,2187996.1,2187996.1,2145738.11,29033101.79,164,0,0,0,0,,0,1.9,0,0.0003394768630920189,0.0,Low,0.78
MPLAD-1040,ADITYA YADAV,Uttar Pradesh,BADAUN,147000000.0,Health Sub-Centre,Vendor_005,3871661.4,3871661.4,3834631.85,3871661.4,105,0,0,0,0,,0,1.0,0,0.0003310583678886624,0.0,Low,0.92
MPLAD-1041,ADITYA YADAV,Uttar Pradesh,BADAUN,147000000.0,Drinking Water Supply,Vendor_024,3130531.0,3130531.0,3186160.74,7002192.4,180,0,0,0,0,,0,1.8,0,0.030093022806393775,0.03,Low,1.42
MPLAD-1042,ADITYA YADAV,Uttar Pradesh,BADAUN,147000000.0,Community Hall,Vendor_001,2902165.61,2902165.61,2939387.57,9904358.02,219,0,0,0,0,,0,1.3,0,0.0012561369959544707,0.001,Low,1.04
MPLAD-1043,ADITYA YADAV,Uttar Pradesh,BADAUN,147000000.0,Community Hall,Vendor_010,3052892.68,3052892.68,4132447.8,12957250.7,142,0,1,0,1,DUPGRP-1043,0,35.4,0,0.003668214651151065,1.0,High,1.09
MPLAD-1044,ADITYA YADAV,Uttar Pradesh,BADAUN,147000000.0,Community Hall,Vendor_010,2999614.76,2999614.76,2981417.49,15956865.46,147,0,1,0,0,DUPGRP-1043,0,0.6,0,0.0029275956920863763,0.75,High,1.07
MPLAD-1045,Adv Adoor Prakash,Kerala,ATTINGAL,147000000.0,Health Sub-Centre,Vendor_024,9823243.28,9823243.28,10015977.33,9823243.28,175,1,0,0,0,,0,2.0,0,0.9903603674202627,0.99,High,2.34
MPLAD-1046,Adv Adoor Prakash,Kerala,ATTINGAL,147000000.0,Community Hall,Vendor_017,2197717.54,2197717.54,2218807.61,12020960.82,249,0,0,0,0,,0,1.0,1,0.0004211262441483944,0.4,Medium,0.78
MPLAD-1047,Adv Adoor Prakash,Kerala,ATTINGAL,147000000.0,School Building,Vendor_019,11018219.76,11018219.76,10802631.83,23039180.58,235,1,0,0,0,,0,2.0,0,0.9825703251110667,0.983,High,2.2
MPLAD-1048,Adv Adoor Prakash,Kerala,ATTINGAL,147000000.0,Road Construction,Vendor_015,3970450.27,3970450.27,4657044.5,27009630.85,172,0,0,0,1,,0,17.3,0,0.0024667910035857817,0.653,Medium,1.13
MPLAD-1049,Adv Adoor Prakash,Kerala,ATTINGAL,147000000.0,Community Hall,Vendor_013,3842299.79,3842299.79,3915187.94,30851930.64,227,0,0,0,0,,0,1.9,0,0.011142270825984126,0.011,Low,1.37
MPLAD-1050,Adv Dean Kuriakose,Kerala,IDUKKI,147000000.0,Sports Infrastructure,Vendor_009,6924518.32,6924518.32,6957262.44,6924518.32,280,1,0,1,0,,0,0.5,0,0.8479136701525606,0.848,High,2.31
MPLAD-1051,Adv Dean Kuriakose,Kerala,IDUKKI,147000000.0,Health Sub-Centre,Vendor_002,2328699.92,2328699.92,2727395.31,9253218.24,156,0,0,0,1,,0,17.1,0,1.1211800262903006e-05,0.651,Medium,0.55
MPLAD-1052,Adv Dean Kuriakose,Kerala,IDUKKI,147000000.0,School Building,Vendor_019,5434824.22,5434824.22,5447520.89,14688042.46,168,0,0,0,0,,0,0.2,0,0.0010207596626542104,0.001,Low,1.09
MPLAD-1053,Adv Dean Kuriakose,Kerala,IDUKKI,147000000.0,School Building,Vendor_020,3913499.31,3913499.31,3853626.88,18601541.77,67,0,0,0,0,,0,1.5,0,0.00026170321877411044,0.0,Low,0.78
MPLAD-1054,Adv Dean Kuriakose,Kerala,IDUKKI,147000000.0,Road Construction,Vendor_025,2174933.85,2174933.85,2150887.42,20776475.62,225,0,0,0,0,,0,1.1,0,5.983164190362523e-05,0.0,Low,0.62
MPLAD-1055,Adv Dean Kuriakose,Kerala,IDUKKI,147000000.0,Solar Street Lighting,Vendor_004,1522803.92,1522803.92,1496842.95,22299279.54,203,0,0,0,0,,0,1.7,1,0.00868672095707345,0.4,Medium,1.02
MPLAD-1056,Adv Dean Kuriakose,Kerala,IDUKKI,147000000.0,School Building,Vendor_003,3947279.84,3947279.84,3875509.82,26246559.37,121,0,0,0,0,,0,1.8,0,6.088855020116334e-05,0.0,Low,0.79
MPLAD-1057,Adv Dean Kuriakose,Kerala,IDUKKI,147000000.0,Community Hall,Vendor_004,2671045.07,2671045.07,2655376.95,28917604.44,143,0,0,0,0,,0,0.6,1,0.0014949810022356722,0.4,Medium,0.95
MPLAD-1058,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),147816309.11,Community Hall,Vendor_016,6467580.38,6467580.38,6573888.56,6467580.38,292,1,0,1,0,,0,1.6,0,0.7100752023837961,0.71,High,2.31
MPLAD-1059,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),147816309.11,Health Sub-Centre,Vendor_017,6390090.45,6390090.45,6273846.7,12857670.83,76,0,0,0,0,,0,1.8,1,0.06493197987629318,0.4,Medium,1.52
MPLAD-1060,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),147816309.11,Sports Infrastructure,Vendor_025,2892015.04,2892015.04,2931591.56,15749685.87,271,0,0,1,0,,0,1.4,0,0.0016115509287894566,0.002,Low,0.96
MPLAD-1061,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR(ST),147816309.11,Health Sub-Centre,Vendor_023,9685193.99,9685193.99,9857499.69,25434879.86,294,1,0,1,0,,0,1.8,0,0.9591474452378617,0.959,High,2.31
MPLAD-1062,ADV K FRANCIS GEORGE,Kerala,KOTTAYAM,188722256.11,School Building,Vendor_001,3398569.36,3398569.36,3414628.04,3398569.36,171,0,0,0,0,,0,0.5,0,1.1954505688290041e-05,0.0,Low,0.68
MPLAD-1063,ADV K FRANCIS GEORGE,Kerala,KOTTAYAM,188722256.11,Community Hall,Vendor_018,2798527.63,2798527.63,2804338.14,6197096.99,154,0,0,0,0,,0,0.2,0,0.0016027500505582063,0.002,Low,1.0
MPLAD-1064,ADV K FRANCIS GEORGE,Kerala,KOTTAYAM,188722256.11,Health Sub-Centre,Vendor_005,9777826.64,9777826.64,9857644.9,15974923.63,260,1,0,0,0,,0,0.8,0,0.9838080997441726,0.984,High,2.33
MPLAD-1065,ADV K FRANCIS GEORGE,Kerala,KOTTAYAM,188722256.11,School Building,Vendor_015,5304670.32,5304670.32,5390427.47,21279593.95,182,0,0,0,0,,0,1.6,0,0.000762271526018582,0.001,Low,1.06
MPLAD-1066,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,220500000.0,Road Construction,Vendor_005,2915942.6,2915942.6,2911200.91,2915942.6,260,0,0,0,0,,0,0.2,0,0.0005978564741477854,0.001,Low,0.83
MPLAD-1067,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,220500000.0,Road Construction,Vendor_013,3162337.87,3162337.87,3172413.07,6078280.48,80,0,0,0,0,,0,0.3,0,0.00154861717063451,0.002,Low,0.9
MPLAD-1068,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,220500000.0,School Building,Vendor_003,9348122.14,9348122.14,9525029.88,15426402.62,209,1,0,0,0,,0,1.9,0,0.8612499843778834,0.861,High,1.87
MPLAD-1069,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,220500000.0,Health Sub-Centre,Vendor_004,3139851.2,3139851.2,3189362.55,18566253.82,146,0,0,0,0,,0,1.6,1,5.209490712968205e-05,0.4,Medium,0.75
MPLAD-1070,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,220500000.0,Road Construction,Vendor_015,3377660.59,3377660.59,3331316.07,21943914.41,182,0,0,0,0,,0,1.4,0,0.0005548221116067059,0.001,Low,0.97
MPLAD-1071,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,220500000.0,Health Sub-Centre,Vendor_014,9471566.95,9471566.95,9421903.22,31415481.36,182,1,0,0,0,,0,0.5,0,0.9840765202387216,0.984,High,2.26
MPLAD-1072,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,147000000.0,Health Sub-Centre,Vendor_017,10366903.78,10366903.78,10380429.38,10366903.78,208,1,0,0,0,,0,0.1,1,0.9958374375945426,0.996,High,2.47
MPLAD-1073,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,147000000.0,Sports Infrastructure,Vendor_022,5828913.46,5828913.46,5740258.51,16195817.24,214,1,0,0,0,,0,1.5,1,0.6943750384895233,0.694,High,1.94
MPLAD-1074,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,147000000.0,Road Construction,Vendor_004,887982.33,887982.33,891066.87,17083799.57,156,0,0,0,0,,0,0.3,1,2.8780031372499366e-06,0.4,Medium,0.25
MPLAD-1075,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,SRINAGAR,147000000.0,Road Construction,Vendor_024,1672308.51,1672308.51,1660960.13,18756108.09,111,0,0,0,0,,0,0.7,0,2.9398647908743545e-05,0.0,Low,0.48
MPLAD-1076,Ajay Bhatt NAINITAL UDHAM SINGH,Uttarakhand,NAG.,147000000.0,Road Construction,Vendor_024,6959491.51,6959491.51,6842637.12,6959491.51,104,1,0,0,0,,0,1.7,0,0.8573241707286291,0.857,High,1.99
MPLAD-1077,Ajay Bhatt NAINITAL UDHAM SINGH,Uttarakhand,NAG.,147000000.0,School Building,Vendor_017,11260949.49,11260949.49,11112704.76,18220441.0,234,1,0,0,0,,0,1.3,1,0.9871210881941009,0.987,High,2.25
MPLAD-1078,Ajay Bhatt NAINITAL UDHAM SINGH,Uttarakhand,NAG.,147000000.0,School Building,Vendor_005,5428970.25,5428970.25,5390680.64,23649411.25,286,0,0,1,0,,0,0.7,0,0.0033504038258617224,0.003,Low,1.09
MPLAD-1079,Ajay Kumar Mandal,Bihar,BHAGALPUR,147000000.0,Community Hall,Vendor_005,2387242.65,2387242.65,2428495.57,2387242.65,161,0,0,0,0,,0,1.7,0,0.0005543258683573176,0.001,Low,0.85
MPLAD-1080,Ajay Kumar Mandal,Bihar,BHAGALPUR,147000000.0,Health Sub-Centre,Vendor_017,4006883.17,4006883.17,4056548.4,6394125.82,155,0,0,0,0,,0,1.2,1,0.00032465101017493855,0.4,Medium,0.95
MPLAD-1081,Ajay Kumar Mandal,Bihar,BHAGALPUR,147000000.0,Road Construction,Vendor_004,6367853.93,6367853.93,6486302.86,12761979.75,143,0,0,0,0,,0,1.9,1,0.5932379071621924,0.593,Medium,1.82
MPLAD-1082,Ajay Kumar Mandal,Bihar,BHAGALPUR,147000000.0,Solar Street Lighting,Vendor_004,1834050.48,1834050.48,1855711.88,14596030.23,168,0,0,0,0,,0,1.2,1,0.015310906801711566,0.4,Medium,1.22
MPLAD-1083,Ajay Kumar Mandal,Bihar,BHAGALPUR,147000000.0,Solar Street Lighting,Vendor_004,1278783.81,1278783.81,1283300.82,15874814.04,207,0,0,0,0,,0,0.4,1,0.004515745113661456,0.4,Medium,0.85
MPLAD-1084,Ajay Tamta,Uttarakhand,ALMORA(SC),147000000.0,Sports Infrastructure,Vendor_001,3250190.49,3250190.49,3302138.23,3250190.49,228,0,0,0,0,,0,1.6,0,0.0027293319290933636,0.003,Low,1.08
MPLAD-1085,Ajay Tamta,Uttarakhand,ALMORA(SC),147000000.0,Sports Infrastructure,Vendor_010,710938.74,710938.74,719300.1,3961129.24,265,0,0,0,0,,0,1.2,0,3.0941701537330514e-05,0.0,Low,0.24
MPLAD-1086,Ajay Tamta,Uttarakhand,ALMORA(SC),147000000.0,Health Sub-Centre,Vendor_005,4823455.2,4823455.2,4754600.95,8784584.44,274,0,0,1,0,,0,1.4,0,0.011028346846964352,0.011,Low,1.15
MPLAD-1087,Ajay Tamta,Uttarakhand,ALMORA(SC),147000000.0,Community Hall,Vendor_015,3231081.84,3231081.84,3182937.26,12015666.28,200,0,0,0,0,,0,1.5,0,0.002652610604909873,0.003,Low,1.15
MPLAD-1088,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,147000000.0,Health Sub-Centre,Vendor_004,6038526.64,6038526.64,5978575.92,6038526.64,151,0,1,0,0,DUPGRP-1088,0,1.0,1,0.033734632991601864,1.0,High,1.44
MPLAD-1089,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,147000000.0,Health Sub-Centre,Vendor_004,5963985.13,5963985.13,5926417.81,12002511.77,145,0,1,0,0,DUPGRP-1088,0,0.6,1,0.027416936985523867,1.0,High,1.42
MPLAD-1090,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,147000000.0,Solar Street Lighting,Vendor_018,1827182.83,1827182.83,1791962.8,13829694.6,176,0,0,0,0,,0,1.9,0,0.01608422126391568,0.016,Low,1.22
MPLAD-1091,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,147000000.0,Community Hall,Vendor_022,3884473.58,3884473.58,3951965.07,17714168.19,220,0,0,0,0,,0,1.7,1,0.01215728119077964,0.4,Medium,1.39
MPLAD-1092,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,147000000.0,Solar Street Lighting,Vendor_023,1335363.15,1335363.15,1355120.99,19049531.33,151,0,0,0,0,,0,1.5,0,0.003275122858177523,0.003,Low,0.89
MPLAD-1093,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,147000000.0,Sports Infrastructure,Vendor_025,1416593.28,1416593.28,1747190.44,20466124.61,264,0,0,0,1,,0,23.3,0,9.222242418827989e-05,0.713,High,0.47
MPLAD-1094,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,147000000.0,Sports Infrastructure,Vendor_012,1444250.02,1444250.02,1429705.07,21910374.63,30,0,0,0,0,,0,1.0,0,0.0013534446326012165,0.001,Low,0.48
MPLAD-1095,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,147000000.0,Road Construction,Vendor_022,4465326.93,4465326.93,4414007.96,26375701.57,170,0,0,0,0,,0,1.1,1,0.009038621435671886,0.4,Medium,1.28
MPLAD-1096,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,147000000.0,Sports Infrastructure,Vendor_008,5276651.63,5276651.63,5296784.17,5276651.63,82,0,0,0,0,,0,0.4,0,0.5150127478407471,0.515,Medium,1.76
MPLAD-1097,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,147000000.0,Health Sub-Centre,Vendor_017,5954616.02,5954616.02,7550552.77,11231267.64,160,0,0,0,1,,0,26.8,1,0.02982112660484109,1.0,High,1.42
MPLAD-1098,AKHILESH YADAV,Uttar Pradesh,KANNAUJ,147000000.0,School Building,Vendor_018,10617534.17,10617534.17,10730231.35,21848801.82,270,1,0,0,0,,0,1.1,0,0.9373861183903299,0.937,High,2.12
MPLAD-1099,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,147000000.0,Road Construction,Vendor_002,3631679.17,3631679.17,3562733.39,3631679.17,168,0,0,0,0,,0,1.9,0,0.001031145086553967,0.001,Low,1.04
MPLAD-1100,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,147000000.0,Community Hall,Vendor_023,2568864.67,2568864.67,2519512.73,6200543.84,241,0,0,0,0,,0,1.9,0,0.0007640680960166457,0.001,Low,0.92
MPLAD-1101,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,147000000.0,Solar Street Lighting,Vendor_003,1981395.35,1981395.35,1999011.29,8181939.19,190,0,0,0,0,,0,0.9,0,0.029016877429588958,0.029,Low,1.32
MPLAD-1102,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,147000000.0,Solar Street Lighting,Vendor_016,2323198.62,2323198.62,3039464.44,10505137.81,119,0,0,0,1,,0,30.8,0,0.048611679484507016,0.788,High,1.55
MPLAD-1103,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,147000000.0,Road Construction,Vendor_020,1496264.99,1496264.99,1515722.86,12001402.8,285,0,0,1,0,,0,1.3,0,0.00010616395700685384,0.0,Low,0.43
MPLAD-1104,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,147000000.0,School Building,Vendor_002,6134527.35,6134527.35,6065700.54,18135930.16,95,0,0,0,0,,0,1.1,0,0.008604417262273466,0.009,Low,1.23
MPLAD-1105,ALFRED KANNGAM S ARTHUR OUTER,Manipur,MANIPUR(ST),147000000.0,Solar Street Lighting,Vendor_017,1583207.57,1583207.57,1583996.5,1583207.57,121,0,0,0,0,,0,0.0,1,0.0065800188191589126,0.4,Medium,1.06
MPLAD-1106,ALFRED KANNGAM S ARTHUR OUTER,Manipur,MANIPUR(ST),147000000.0,Road Construction,Vendor_004,1882177.49,1882177.49,1912335.42,3465385.07,224,0,0,0,0,,0,1.6,1,3.2674892478671985e-05,0.4,Medium,0.54
MPLAD-1107,ALFRED KANNGAM S ARTHUR OUTER,Manipur,MANIPUR(ST),147000000.0,Drinking Water Supply,Vendor_025,2356676.2,2356676.2,2377434.05,5822061.27,121,0,0,0,0,,0,0.9,0,0.005741384490666377,0.006,Low,1.07
